model_name,split_name,fold,pr_auc,roc_auc,f1,precision,recall,threshold
random_forest,cv,1,1.0,1.0,0.9973045822102425,1.0,0.9946236559139785,0.6348588528052546
random_forest,cv,2,1.0,1.0,1.0,1.0,1.0,0.7183681709117753
random_forest,cv,3,1.0,1.0,1.0,1.0,1.0,0.6889495984585118
random_forest,cv,4,1.0,1.0,1.0,1.0,1.0,0.6829873116203408
random_forest,cv,5,0.999970938680616,0.9998681608437706,0.9945652173913043,1.0,0.9891891891891892,0.7475653195488723
lightgbm,cv,1,0.9999999999999999,1.0,1.0,1.0,1.0,0.9997819811895562
lightgbm,cv,2,0.9999999999999997,1.0,1.0,1.0,1.0,0.9998384247837127
lightgbm,cv,3,0.9999999999999998,1.0,1.0,1.0,1.0,0.9997353265399531
lightgbm,cv,4,0.9999999999999996,1.0,1.0,1.0,1.0,0.9998371891185582
lightgbm,cv,5,0.9999999999999999,1.0,0.997289972899729,1.0,0.9945945945945946,0.9998392064157486
